condition,control,seed,config_hash,engine_version,measurement_version,world_contract_version,spatial_enabled,boundary_model,spatial_rng_stream,spatial_births,boundary_contacts,mean_parent_child_distance,max_parent_child_distance,mean_local_neighbors,mean_nearest_neighbor_distance,occupied_spatial_bins,spatial_occupancy_fraction,local_resources_enabled,organism_actions_enabled,local_resource_total,local_resource_minimum,local_resource_balance_error,resource_ledger,resource_sense_operations,movement_operations,movement_distance,movement_energy_cost,mutation_events,lineage_count,genotype_count,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error
movement-execution-off,,30,1a407e8e34680e9a,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,151,0,0.914578,,0.117647,8.912514,14,0.14,True,False,31249.772727,0.0,6e-10,,0,0,0.0,0.0,,,,2000,17,151,146,28,4,12,4,18,9703,7,16,0,16,0.0,272,228,3.6e-09
movement-execution-on,,21,c1cd94e5f5d94f20,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,42,3,0.80214,,0.0,17.138762,9,0.09,True,True,36308.536364,0.0,-2e-10,,0,8,0.0,0.0,,,,2000,9,42,45,24,1,3,1,4,2876,2,9,0,9,0.0,144,356,4e-10
movement-execution-on,,22,0a6426b086aef0f3,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,79,2,0.888422,,8.129032,5.564051,10,0.1,True,True,35194.718182,0.0,-0.0,,0,0,0.0,0.0,,,,2000,31,79,60,31,5,14,5,10,6108,9,20,3,17,0.0,496,4,6e-10
movement-execution-on,,23,3169add7cd90b7c5,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,165,0,0.972109,,0.153846,10.047095,12,0.12,True,True,31411.195455,0.0,8e-10,,0,8,0.0,0.0,,,,2000,13,165,164,31,2,14,3,28,12234,9,13,0,13,0.0,208,292,3.2e-09
movement-execution-on,,24,75d00f338cc07974,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,56,2,0.916425,,0.5,7.606024,10,0.1,True,True,36138.668182,0.0,-5e-10,,0,9,1.0,0.1,,,,2000,12,56,56,24,2,6,2,6,4079,3,10,0,10,0.0,192,308,3e-10
movement-execution-on,,25,81b3b67e7b7318ee,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,114,0,0.878872,,1.5,4.969308,11,0.11,True,True,32441.290909,0.0,-8e-10,,0,8,0.0,0.0,,,,2000,16,114,110,31,2,12,2,19,8071,10,15,0,15,0.0,256,244,2.9e-09
movement-execution-on,,26,e008309c43173d5c,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,54,0,0.811107,,0.0,12.779467,11,0.11,True,True,34973.409091,0.0,-1.8e-09,,0,0,0.0,0.0,,,,2000,12,54,54,24,3,4,3,4,3823,0,10,0,10,0.0,192,308,1.4e-09
movement-execution-on,,27,9504e7979fed101c,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,51,0,0.942759,,0.0,21.747068,9,0.09,True,True,35445.581818,0.0,-1.2e-09,,0,0,0.0,0.0,,,,2000,9,51,54,24,1,6,1,4,3387,4,9,0,9,0.0,144,356,1.1e-09
movement-execution-on,,28,c02fb5ab33a1b8f7,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,118,0,0.938139,,0.428571,8.322286,12,0.12,True,True,31639.772727,0.0,-4e-10,,0,3,1.0,0.1,,,,2000,14,118,116,29,2,10,2,12,20566,7,13,0,13,0.0,224,276,2.9e-09
movement-execution-on,,29,2fea1e6ecc1e4cae,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,116,0,0.934644,,0.533333,9.133253,10,0.1,True,True,33239.954545,0.0,-2.4e-09,,0,16,0.0,0.0,,,,2000,15,116,113,27,1,13,1,13,7461,12,15,0,15,0.0,240,260,2.2e-09
movement-execution-on,,30,ff91bb08a5edcd12,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,158,2,0.90888,,0.470588,9.709729,12,0.12,True,True,30948.409091,0.0,1.2e-09,,0,3,1.0,0.1,,,,2000,17,158,153,31,4,17,4,25,10794,12,16,0,16,0.0,272,228,3.8e-09
